Document – Sentence Number	Monolingual judge score	Notes
1-1	1	
1-2	1	
1-3	1	
1-4	1	
1-5	1	
1-6	1	
2-1	1	
2-2	1	
2-3	1	
2-4	1	
2-5	0	
2-6	1	
2-7	0	
2-8	1	
2-9	1	
2-10	1	
2-11	1	
2-12	0	
2-13	1	
2-14	1	
2-15	1	
2-16	1	
2-17	0	
2-18	1	
2-19	1	
2-20	1	
2-21	1	
2-22	1	
2-23	0	
2-24	1	
2-25	1	
2-26	1	
2-27	1	
3-1	0	
3-2	1	
3-3	1	
3-4	1	
3-5	1	
3-6	1	
3-7	1	
3-8	1	
4-1	1	
4-2	1	
4-3	1	
4-4	1	
4-5	0	
4-6	0	
4-7	1	
4-8	0	
4-9	1	
4-10	0	
4-11	1	
4-12	1	
4-13	1	
4-14	1	
4-15	0	
4-16	1	
4-17	1	
4-18	1	
5-1	0	
5-2	0	
5-3	0	
5-4	0	
5-5	1	
5-6	0	
5-7	0	
5-8	1	
5-9	1	
5-10	1	
5-11	1	
5-12	1	
5-13	1	
5-14	1	
5-15	1	
5-16	1	
5-17	1	
5-18	1	
5-19	0	
5-20	0	
5-21	0	
5-22	0	
5-23	1	
5-24	0	
5-25	0	
5-26	0	
5-27	1	
5-28	0	
5-29	1	
5-30	0	
5-31	1	
5-32	0	
5-33	1	
6-1	1	
6-2	0	
6-3	1	
6-4	0	
6-5	0	
6-6	0	
6-7	1	
6-8	1	
6-9	1	
6-10	1	
6-11	0	
6-12	1	
7-1	1	
7-2	1	
7-3	0	
7-4	0	
7-5	0	
7-6	0	
7-7	1	
7-8	1	
7-9	1	
7-10	1	
7-11	0	
7-12	1	
7-13	0	
7-14	0	
7-15	0	
7-16	0	
7-17	1	
7-18	1	
8-1	1	
8-2	1	
8-3	1	
8-4	1	
8-5	1	
8-6	0	
8-7	0	
8-8	1	
8-9	1	
8-10	1	
8-11	0	
8-12	1	
8-13	1	
8-14	0	
8-15	1	
8-16	0	
8-17	0	
8-18	1	
8-19	0	
8-20	1	
8-21	1	
8-22	1	
8-23	1	
8-24	0	
8-25	1	
8-26	1	
8-27	0	
8-28	1	
8-29	0	
8-30	0	
8-31	1	
8-32	0	
8-33	0	
8-34	0	
8-35	0	
8-36	0	
8-37	1	
8-38	0	
8-39	1	
8-40	1	
8-41	1	
8-42	1	
8-43	1	
9-1	1	
9-2	1	
9-3	0	
9-4	1	
9-5	1	
9-6	0	
9-7	0	
9-8	1	
9-9	0	
9-10	1	
9-11	1	
9-12	1	
9-13	1	
9-14	1	
9-15	1	
9-16	1	
9-17	1	
9-18	1	
9-19	1	
9-20	1	
9-21	0	
9-22	1	
9-23	1	
9-24	1	
9-25	0	
9-26	0	
9-27	1	
9-28	1	
9-29	1	
9-30	1	
9-31	1	
9-32	1	
9-33	0	
9-34	1	
9-35	0	
9-36	1	
9-37	1	
10-1	0	
10-2	0	
10-3	1	
10-4	1	
10-5	0	
10-6	1	
10-7	1	
10-8	0	
10-9	1	
10-10	1	
10-11	0	
10-12	0	
10-13	0	
10-14	1	
10-15	0	
10-16	1	
11-1	0	
11-2	0	
11-3	1	
11-4	1	
11-5	1	
11-6	0	
11-7	1	
11-8	1	
11-9	1	
11-10	1	
11-11	1	
11-12	1	
11-13	1	
11-14	1	
11-15	0	
11-16	1	
11-17	0	
11-18	0	
11-19	1	
11-20	0	
11-21	1	
11-22	1	
11-23	1	
11-24	1	
11-25	0	
11-26	1	
11-27	1	
11-28	1	
11-29	0	
11-30	1	
11-31	1	
11-32	0	
11-33	1	
11-34	1	
11-35	1	
