Document – Sentence Number	Bilingual judge score	ID of bilingual judge
1-1	12	1
1-2	10	1
1-3	10	1
1-4	10	1
1-5	10	1
1-6	10	1
2-1	8	1
2-2	8	1
2-3	10	1
2-4	10	1
2-5	6	1
2-6	10	1
2-7	8	1
2-8	6	1
2-9	8	1
2-10	10	1
2-11	8	1
2-12	12	1
2-13	10	1
2-14	8	1
2-15	10	1
2-16	8	1
2-17	12	1
2-18	10	1
2-19	10	1
2-20	8	1
2-21	10	1
2-22	10	1
2-23	8	1
2-24	10	1
2-25	8	1
2-26	8	1
2-27	10	1
3-1	10	1
3-2	10	1
3-3	8	1
3-4	10	1
3-5	10	1
3-6	8	1
3-7	6	1
3-8	10	1
4-1	12	1
4-2	10	1
4-3	12	1
4-4	8	1
4-5	8	1
4-6	10	1
4-7	8	1
4-8	8	1
4-9	10	1
4-10	8	1
4-11	10	1
4-12	10	1
4-13	10	1
4-14	8	1
4-15	10	1
4-16	10	1
4-17	10	1
4-18	8	1
5-1	10	1
5-2	8	1
5-3	6	1
5-4	6	1
5-5	10	1
5-6	6	1
5-7	6	1
5-8	12	1
5-9	6	1
5-10	10	1
5-11	10	1
5-12	10	1
5-13	8	1
5-14	12	1
5-15	10	1
5-16	10	1
5-17	10	1
5-18	10	1
5-19	6	1
5-20	8	1
5-21	4	1
5-22	6	1
5-23	6	1
5-24	6	1
5-25	8	1
5-26	6	1
5-27	6	1
5-28	6	1
5-29	10	1
5-30	6	1
5-31	12	1
5-32	10	1
5-33	10	1
6-1	8	1
6-2	4	1
6-3	10	1
6-4	6	1
6-5	6	1
6-6	6	1
6-7	8	1
6-8	12	1
6-9	6	1
6-10	10	1
6-11	8	1
6-12	10	1
7-1	8	1
7-2	10	1
7-3	8	1
7-4	4	1
7-5	6	1
7-6	8	1
7-7	8	1
7-8	10	1
7-9	10	1
7-10	8	1
7-11	8	1
7-12	10	1
7-13	8	1
7-14	8	1
7-15	10	1
7-16	4	1
7-17	10	1
7-18	8	1
8-1	10	1
8-2	8	1
8-3	10	1
8-4	12	1
8-5	10	1
8-6	6	1
8-7	6	1
8-8	8	1
8-9	10	1
8-10	10	1
8-11	8	1
8-12	10	1
8-13	8	1
8-14	8	1
8-15	10	1
8-16	10	1
8-17	4	1
8-18	6	1
8-19	10	1
8-20	10	1
8-21	10	1
8-22	8	1
8-23	10	1
8-24	8	1
8-25	8	1
8-26	10	1
8-27	6	1
8-28	10	1
8-29	10	1
8-30	6	1
8-31	8	1
8-32	8	1
8-33	4	1
8-34	4	1
8-35	8	1
8-36	8	1
8-37	10	1
8-38	4	1
8-39	8	1
8-40	10	1
8-41	10	1
8-42	10	1
8-43	10	1
9-1	8	1
9-2	10	1
9-3	8	1
9-4	10	1
9-5	8	1
9-6	10	1
9-7	8	1
9-8	10	1
9-9	10	1
9-10	10	1
9-11	6	1
9-12	8	1
9-13	8	1
9-14	10	1
9-15	10	1
9-16	8	1
9-17	10	1
9-18	10	1
9-19	10	1
9-20	8	1
9-21	6	1
9-22	10	1
9-23	10	1
9-24	6	1
9-25	8	1
9-26	6	1
9-27	10	1
9-28	10	1
9-29	10	1
9-30	10	1
9-31	10	1
9-32	10	1
9-33	4	1
9-34	10	1
9-35	8	1
9-36	10	1
9-37	10	1
10-1	8	1
10-2	10	1
10-3	10	1
10-4	10	1
10-5	6	1
10-6	6	1
10-7	8	1
10-8	6	1
10-9	8	1
10-10	6	1
10-11	8	1
10-12	6	1
10-13	6	1
10-14	10	1
10-15	4	1
10-16	6	1
11-1	6	1
11-2	4	1
11-3	8	1
11-4	8	1
11-5	10	1
11-6	6	1
11-7	10	1
11-8	10	1
11-9	10	1
11-10	10	1
11-11	10	1
11-12	8	1
11-13	8	1
11-14	10	1
11-15	8	1
11-16	10	1
11-17	6	1
11-18	4	1
11-19	10	1
11-20	6	1
11-21	8	1
11-22	8	1
11-23	10	1
11-24	10	1
11-25	6	1
11-26	10	1
11-27	8	1
11-28	8	1
11-29	10	1
11-30	8	1
11-31	10	1
11-32	4	1
11-33	10	1
11-34	10	1
11-35	10	1
11-36	8	1
11-37	8	1
12-1	10	1
12-2	6	1
12-3	10	1
12-4	10	1
12-5	8	1
12-6	6	1
12-7	6	1
12-8	10	1
12-9	10	1
12-10	6	1
12-11	10	1
12-12	10	1
12-13	10	1
12-14	10	1
12-15	10	1
12-16	8	1
12-17	8	1
12-18	6	1
12-19	10	1
13-1	10	1
13-2	10	1
13-3	8	1
13-4	8	1
13-5	10	1
13-6	8	1
13-7	10	1
13-8	10	1
13-9	10	1
13-10	8	1
13-11	8	1
13-12	8	1
13-13	10	1
13-14	8	1
13-15	8	1
14-1	10	1
14-2	8	1
14-3	12	1
14-4	8	1
14-5	8	1
14-6	8	1
14-7	8	1
14-8	10	1
14-9	10	1
14-10	10	1
15-1	8	1
15-2	8	1
15-3	8	1
15-4	8	1
15-5	12	1
15-6	8	1
15-7	10	1
15-8	10	1
15-9	10	1
16-1	10	1
16-2	10	1
16-3	10	1
16-4	10	1
16-5	8	1
16-6	10	1
16-7	8	1
16-8	10	1
16-9	8	1
16-10	10	1
16-11	8	1
16-12	8	1
16-13	8	1
16-14	10	1
16-15	10	1
16-16	8	1
17-1	10	1
17-2	8	1
17-3	8	1
17-4	8	1
17-5	6	1
17-6	10	1
17-7	10	1
17-8	10	1
17-9	10	1
17-10	10	1
17-11	10	1
17-12	6	1
17-13	8	1
17-14	8	1
17-15	8	1
17-16	8	1
17-17	8	1
17-18	8	1
17-19	8	1
17-20	10	1
17-21	8	1
18-1	10	1
18-2	8	1
18-3	10	1
18-4	8	1
18-5	10	1
18-6	6	1
18-7	6	1
18-8	8	1
18-9	8	1
18-10	8	1
18-11	6	1
18-12	10	1
19-1	8	1
19-2	8	1
19-3	8	1
19-4	8	1
19-5	8	1
19-6	10	1
19-7	10	1
19-8	10	1
19-9	10	1
19-10	8	1
19-11	6	1
19-12	10	1
19-13	10	1
19-14	10	1
19-15	8	1
19-16	10	1
19-17	8	1
19-18	10	1
19-19	8	1
19-20	8	1
19-21	8	1
19-22	10	1
19-23	10	1
20-1	6	1
20-2	8	1
20-3	10	1
20-4	10	1
20-5	10	1
20-6	10	1
20-7	10	1
20-8	10	1
20-9	8	1
20-10	8	1
20-11	8	1
20-12	8	1
20-13	10	1
20-14	8	1
20-15	8	1
20-16	10	1
21-1	6	2
21-2	10	2
21-3	10	2
21-4	6	2
21-5	6	2
21-6	12	2
21-7	6	2
21-8	10	2
21-9	8	2
21-10	8	2
22-1	8	2
22-2	8	2
22-3	6	2
22-4	12	2
22-5	8	2
22-6	10	2
22-7	10	2
23-1	6	2
23-2	10	2
23-3	8	2
23-4	8	2
23-5	2	2
23-6	6	2
23-7	8	2
23-8	8	2
23-9	10	2
23-10	8	2
23-11	12	2
23-12	6	2
23-13	10	2
23-14	10	2
23-15	10	2
23-16	8	2
23-17	10	2
23-18	8	2
23-19	10	2
23-20	12	2
23-21	10	2
23-22	10	2
23-23	8	2
23-24	8	2
23-25	10	2
23-26	8	2
23-27	12	2
23-28	10	2
23-29	10	2
23-30	10	2
23-31	10	2
23-32	10	2
23-33	8	2
23-34	10	2
23-35	8	2
23-36	10	2
23-37	8	2
23-38	8	2
23-39	10	2
23-40	10	2
23-41	10	2
23-42	10	2
23-43	6	2
23-44	8	2
23-45	8	2
23-46	10	2
23-47	10	2
23-48	8	2
23-49	10	2
24-1	6	2
24-2	10	2
24-3	10	2
24-4	10	2
24-5	10	2
24-6	10	2
24-7	10	2
24-8	10	2
24-9	10	2
24-10	10	2
24-11	10	2
24-12	10	2
24-13	10	2
24-14	10	2
24-15	8	2
24-16	10	2
24-17	12	2
24-18	10	2
24-19	8	2
24-20	10	2
24-21	10	2
24-22	10	2
25-1	8	2
25-2	10	2
26-1	10	2
26-2	8	2
26-3	10	2
26-4	10	2
26-5	10	2
26-6	10	2
26-7	8	2
26-8	10	2
26-9	10	2
26-10	10	2
26-11	10	2
26-12	10	2
26-13	10	2
26-14	10	2
26-15	10	2
26-16	10	2
26-17	10	2
26-18	10	2
26-19	10	2
26-20	10	2
26-21	10	2
26-22	10	2
26-23	10	2
26-24	10	2
26-25	10	2
26-26	10	2
26-27	10	2
26-28	10	2
26-29	10	2
26-30	10	2
26-31	10	2
26-32	10	2
26-33	10	2
26-34	8	2
26-35	10	2
26-36	10	2
26-37	10	2
26-38	10	2
26-39	10	2
26-40	10	2
26-41	10	2
26-42	10	2
26-43	10	2
26-44	10	2
26-45	10	2
26-46	10	2
26-47	10	2
26-48	8	2
26-49	10	2
26-50	10	2
26-51	10	2
26-52	10	2
26-53	10	2
26-54	10	2
26-55	10	2
26-56	10	2
26-57	6	2
26-58	8	2
26-59	8	2
26-60	10	2
26-61	10	2
26-62	10	2
26-63	10	2
26-64	10	2
26-65	10	2
26-66	10	2
26-67	10	2
26-68	10	2
27-1	8	2
27-2	10	2
27-3	6	2
27-4	10	2
27-5	10	2
27-6	10	2
27-7	10	2
27-8	10	2
27-9	10	2
27-10	10	2
27-11	10	2
27-12	10	2
27-13	10	2
27-14	10	2
27-15	10	2
27-16	10	2
27-17	10	2
27-18	10	2
27-19	12	2
27-20	8	2
28-1	10	2
28-2	10	2
28-3	10	2
28-4	10	2
29-1	10	2
29-2	10	2
29-3	10	2
29-4	8	2
29-5	10	2
29-6	10	2
29-7	10	2
29-8	10	2
29-9	10	2
29-10	10	2
29-11	12	2
29-12	10	2
29-13	6	2
30-1	10	2
30-2	10	2
30-3	10	2
30-4	10	2
30-5	10	2
30-6	10	2
30-7	10	2
30-8	10	2
30-9	10	2
31-1	8	2
31-2	10	2
31-3	10	2
31-4	6	2
31-5	10	2
31-6	10	2
31-7	10	2
31-8	8	2
31-9	10	2
32-1	8	2
32-2	10	2
32-3	10	2
32-4	10	2
32-5	10	2
32-6	10	2
32-7	10	2
32-8	10	2
32-9	10	2
32-10	10	2
32-11	10	2
32-12	10	2
32-13	10	2
32-14	10	2
32-15	10	2
32-16	10	2
32-17	10	2
32-18	10	2
32-19	10	2
32-20	10	2
33-1	8	2
33-2	10	2
33-3	10	2
33-4	10	2
33-5	10	2
33-6	10	2
33-7	10	2
33-8	10	2
34-1	10	2
34-2	10	2
34-3	10	2
34-4	10	2
34-5	10	2
34-6	10	2
34-7	6	2
34-8	10	2
34-9	10	2
34-10	10	2
34-11	10	2
35-1	10	2
35-2	10	2
35-3	10	2
35-4	10	2
35-5	10	2
35-6	10	2
35-7	10	2
35-8	10	2
35-9	10	2
35-10	10	2
35-11	10	2
35-12	8	2
35-13	10	2
35-14	10	2
35-15	8	2
35-16	10	2
35-17	8	2
35-18	8	2
35-19	10	2
35-20	10	2
35-21	10	2
35-22	10	2
35-23	10	2
35-24	10	2
35-25	10	2
35-26	10	2
35-27	10	2
35-28	10	2
35-29	8	1
35-30	6	1
35-31	6	1
35-32	8	1
35-33	10	1
35-34	10	1
35-35	10	1
35-36	10	1
35-37	10	1
35-38	6	1
35-39	4	1
35-40	4	1
35-41	4	1
35-42	6	1
35-43	6	1
35-44	6	1
35-45	6	1
35-46	4	1
35-47	4	1
36-1	10	1
36-2	8	1
36-3	8	1
36-4	10	1
36-5	10	1
36-6	10	1
36-7	10	1
36-8	10	1
36-9	10	1
36-10	8	1
37-1	10	1
37-2	8	1
37-3	10	1
37-4	10	1
37-5	8	1
37-6	10	1
37-7	10	1
37-8	10	1
37-9	10	1
37-10	10	1
37-11	6	1
37-12	10	1
37-13	10	1
37-14	8	1
37-15	8	1
37-16	10	1
37-17	10	1
37-18	10	1
37-19	8	1
37-20	10	1
37-21	10	1
37-22	10	1
37-23	10	1
37-24	6	1
37-25	8	1
37-26	10	1
37-27	10	1
37-28	10	1
37-29	10	1
37-30	10	1
37-31	8	1
37-32	10	1
37-33	10	1
37-34	10	1
37-35	8	1
37-36	10	1
37-37	10	1
37-38	10	1
37-39	10	1
37-40	8	1
37-41	10	1
37-42	6	1
37-43	8	1
37-44	6	1
37-45	8	1
37-46	10	1
38-1	10	1
38-2	6	1
38-3	10	1
38-4	8	1
38-5	6	1
38-6	6	1
38-7	6	1
38-8	10	1
38-9	10	1
38-10	8	1
38-11	10	1
38-12	10	1
38-13	10	1
38-14	8	1
38-15	8	1
38-16	10	1
38-17	10	1
39-1	10	1
39-2	10	1
39-3	10	1
39-4	8	1
39-5	12	1
39-6	10	1
39-7	10	1
39-8	8	1
39-9	10	1
39-10	8	1
39-11	10	1
39-12	10	1
39-13	10	1
39-14	10	1
39-15	10	1
39-16	10	1
39-17	10	1
39-18	10	1
40-1	2	1
40-2	10	1
40-3	6	1
41-1	10	1
41-2	10	1
41-3	8	1
41-4	10	1
41-5	10	1
41-6	10	1
41-7	10	1
41-8	8	1
41-9	8	1
41-10	8	1
41-11	10	1
41-12	10	1
41-13	10	1
41-14	10	1
41-15	10	1
41-16	10	1
41-17	10	1
41-18	10	1
41-19	8	1
41-20	8	1
41-21	10	1
41-22	10	1
41-23	10	1
41-24	10	1
41-25	10	1
41-26	10	1
41-27	10	1
41-28	10	1
41-29	8	1
41-30	10	1
41-31	10	1
41-32	10	1
41-33	10	1
41-34	10	1
41-35	10	1
41-36	10	1
41-37	10	1
41-38	8	1
41-39	10	1
41-40	10	1
41-41	10	1
41-42	10	1
42-1	8	1
42-2	8	1
42-3	10	1
42-4	4	1
42-5	10	1
42-6	10	1
42-7	10	1
42-8	10	1
42-9	6	1
42-10	10	1
42-11	10	1
42-12	6	1
42-13	10	1
42-14	10	1
42-15	10	1
42-16	10	1
42-17	10	1
42-18	10	1
42-19	10	1
42-20	10	1
42-21	10	1
42-22	10	1
42-23	10	1
42-24	10	1
42-25	10	1
42-26	6	1
42-27	10	1
42-28	10	1
42-29	8	1
42-30	8	1
43-1	8	1
43-2	6	1
43-3	10	1
43-4	12	1
43-5	8	1
43-6	10	1
44-1	10	1
44-2	10	1
44-3	10	1
44-4	10	1
44-5	10	1
44-6	10	1
44-7	10	1
44-8	8	1
44-9	12	1
44-10	10	1
44-11	10	1
44-12	10	1
44-13	12	1
44-14	8	1
44-15	10	1
44-16	10	1
44-17	10	1
44-18	8	1
44-19	10	1
44-20	8	1
44-21	10	1
44-22	4	1
44-23	10	1
44-24	6	1
44-25	8	1
44-26	10	1
44-27	10	1
44-28	6	1
44-29	8	1
44-30	6	1
44-31	10	1
44-32	10	1
44-33	8	1
44-34	8	1
44-35	10	1
44-36	10	1
44-37	8	1
44-38	8	1
44-39	10	1
44-40	10	1
44-41	8	1
44-42	8	1
44-43	10	1
44-44	8	1
44-45	10	1
44-46	8	1
44-47	8	1
44-48	8	1
44-49	10	1
44-50	10	1
44-51	10	1
44-52	10	1
44-53	10	1
44-54	10	1
44-55	10	1
44-56	10	1
44-57	10	1
44-58	10	1
44-59	10	1
44-60	6	1
44-61	12	1
44-62	10	1
44-63	10	1
44-64	10	1
44-65	8	1
44-66	10	1
44-67	10	1
44-68	10	1
44-69	10	1
44-70	8	1
44-71	12	1
44-72	10	1
44-73	10	1
44-74	10	1
44-75	10	1
44-76	10	1
44-77	10	1
44-78	4	1
44-79	12	1
44-80	10	1
44-81	8	1
44-82	10	1
44-83	10	1
